#TYPE System.Management.Automation.PSCustomObject
"Productname","StringID","GUID","Serviceplansincluded","Serviceplansincluded(friendlynames)","[missing]"
"DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION","DYN365_FINANCIALS_BUSINESS_SKU","cc13a803-544e-4464-b4e4-6d6169a138fa","DYN365_FINANCIALS_BUSINESS (920656a2-7dd8-4c83-97b6-a356414dbd36)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)","FLOW FOR DYNAMICS 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
POWERAPPS FOR DYNAMICS 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
DYNAMICS 365 FOR FINANCIALS (920656a2-7dd8-4c83-97b6-a356414dbd36)",
"DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION","DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE","8edc2cf8-6438-4fa9-b6e3-aa1660c640cc","DYN365_ENTERPRISE_P1 (d56f3deb-50d8-465a-bedb-f079817ccac1)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)","DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN (d56f3deb-50d8-465a-bedb-f079817ccac1)
FLOW FOR DYNAMICS 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
MICROSOFT SOCIAL ENGAGEMENT - SERVICE DISCONTINUATION (03acaee3-9492-4f40-aed4-bcb6b32981b6)
POWERAPPS FOR DYNAMICS 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
PROJECT ONLINE ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)",
"DYNAMICS 365 FOR SALES ENTERPRISE EDITION","DYN365_ENTERPRISE_SALES","1e1a282c-9c54-43a2-9310-98ef728faace","DYN365_ENTERPRISE_SALES (2da8e897-7791-486b-b08f-cc63c8129df7)
FLOW_DYN_APPS (7e6d7d78-73de-46ba-83b1-6d25117334ba)
NBENTERPRISE (03acaee3-9492-4f40-aed4-bcb6b32981b6)
POWERAPPS_DYN_APPS (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)","DYNAMICS 365 FOR SALES (2da8e897-7791-486b-b08f-cc63c8129df7)
FLOW FOR DYNAMICS 365 (7e6d7d78-73de-46ba-83b1-6d25117334ba)
MICROSOFT SOCIAL ENGAGEMENT - SERVICE DISCONTINUATION (03acaee3-9492-4f40-aed4-bcb6b32981b6)
POWERAPPS FOR DYNAMICS 365 (874fc546-6efe-4d22-90b8-5c4e7aa59f4b)
PROJECT ONLINE ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)",
"DYNAMICS 365 FOR TEAM MEMBERS ENTERPRISE EDITION","DYN365_ENTERPRISE_TEAM_MEMBERS","8e7a3d30-d97d-43ab-837c-d7701cef83dc","DYN365_Enterprise_Talent_Attract_TeamMember (643d201a-9884-45be-962a-06ba97062e5e)
DYN365_Enterprise_Talent_Onboard_TeamMember (f2f49eef-4b3f-4853-809a-a055c6103fe0)
DYN365_ENTERPRISE_TEAM_MEMBERS (6a54b05e-4fab-40e7-9828-428db3b336fa)
Dynamics_365_for_Operations_Team_members (f5aa7b45-8a36-4cd1-bc37-5d06dea98645)
Dynamics_365_for_Retail_Team_members (c0454a3d-32b5-4740-b090-78c32f48f0ad)
Dynamics_365_for_Talent_Team_members (d5156635-0704-4f66-8803-93258f8b2678)
FLOW_DYN_TEAM (1ec58c70-f69c-486a-8109-4b87ce86e449)
POWERAPPS_DYN_TEAM (52e619e2-2730-439a-b0d3-d09ab7e8b705)
PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72)
SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014)","DYNAMICS 365 FOR TALENT - ATTRACT EXPERIENCE TEAM MEMBER (643d201a-9884-45be-962a-06ba97062e5e)
DYNAMICS 365 FOR TALENT - ONBOARD EXPERIENCE (f2f49eef-4b3f-4853-809a-a055c6103fe0)
DYNAMICS 365 FOR TEAM MEMBERS (6a54b05e-4fab-40e7-9828-428db3b336fa)
DYNAMICS_365_FOR_OPERATIONS_TEAM_MEMBERS (f5aa7b45-8a36-4cd1-bc37-5d06dea98645)
DYNAMICS 365 FOR RETAIL TEAM MEMBERS (c0454a3d-32b5-4740-b090-78c32f48f0ad)
DYNAMICS 365 FOR TALENT TEAM MEMBERS (d5156635-0704-4f66-8803-93258f8b2678)
FLOW FOR DYNAMICS 365 (1ec58c70-f69c-486a-8109-4b87ce86e449)
POWERAPPS FOR DYNAMICS 365 (52e619e2-2730-439a-b0d3-d09ab7e8b705)
PROJECT ONLINE ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)",
"DYNAMICS 365 UNF OPS PLAN ENT EDITION","Dynamics_365_for_Operations","ccba3cfe-71ef-423a-bd87-b6df3dce59a9","DDYN365_CDS_DYN_P2 (d1142cfd-872e-4e77-b6ff-d98ec5a51f66)
DYN365_TALENT_ENTERPRISE (65a1ebf4-6732-4f00-9dcb-3d115ffdeecd)
Dynamics_365_for_Operations (95d2cd7b-1007-484b-8595-5e97e63fe189)
Dynamics_365_for_Retail (a9e39199-8369-444b-89c1-5fe65ec45665)
Dynamics_365_Hiring_Free_PLAN (f815ac79-c5dd-4bcc-9b78-d97f7b817d0d)
Dynamics_365_Onboarding_Free_PLAN (300b8114-8555-4313-b861-0c115d820f50)
FLOW_DYN_P2 (b650d915-9886-424b-a08d-633cede56f57)
POWERAPPS_DYN_P2 (0b03f40b-c404-40c3-8651-2aceb74365fa)","COMMON DATA SERVICE (d1142cfd-872e-4e77-b6ff-d98ec5a51f66)
DYNAMICS 365 FOR TALENT (65a1ebf4-6732-4f00-9dcb-3d115ffdeecd)
DYNAMICS_365_FOR_OPERATIONS (95d2cd7b-1007-484b-8595-5e97e63fe189)
DYNAMICS 365 FOR RETAIL (a9e39199-8369-444b-89c1-5fe65ec45665)
Dynamics_365_Hiring_Free_PLAN (f815ac79-c5dd-4bcc-9b78-d97f7b817d0d)
DYNAMICS 365 FOR TALENT: ONBOARD (300b8114-8555-4313-b861-0c115d820f50)
FLOW FOR DYNAMICS 365(b650d915-9886-424b-a08d-633cede56f57)
POWERAPPS FOR DYNAMICS 365 (0b03f40b-c404-40c3-8651-2aceb74365fa)",
"ENTERPRISE MOBILITY + SECURITY E3","EMS","efccb6f7-5641-4e0e-bd10-b4976e1bf68e","AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
INTUNE_A (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0)
RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)","AZURE ACTIVE DIRECTORY PREMIUM P1 (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
CLOUD APP SECURITY DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
MICROSOFT INTUNE (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION (8a256a2b-b617-496d-b51b-e76466e88db0)
MICROSOFT AZURE ACTIVE DIRECTORY RIGHTS (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
AZURE INFORMATION PROTECTION PREMIUM P1 (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)",
"ENTERPRISE MOBILITY + SECURITY E5","EMSPREMIUM","b05e124f-c7cc-45a0-a6aa-8cf78c946968","AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
AAD_PREMIUM_P2 (eec0eb4f-6444-4f95-aba0-50c24d67f998)
ADALLOM_S_STANDALONE (2e2ddb96-6af9-4b1d-a3f0-d6ecfd22edb2)
ATA (14ab5db5-e6c4-4b20-b4bc-13e36fd2227f)
INTUNE_A (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0)
RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)
RMS_S_PREMIUM2 (5689bec4-755d-4753-8b61-40975025187c)","AZURE ACTIVE DIRECTORY PREMIUM P1 (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
AZURE ACTIVE DIRECTORY PREMIUM P2 (eec0eb4f-6444-4f95-aba0-50c24d67f998)
MICROSOFT CLOUD APP SECURITY (2e2ddb96-6af9-4b1d-a3f0-d6ecfd22edb2)
AZURE ADVANCED THREAT PROTECTION (14ab5db5-e6c4-4b20-b4bc-13e36fd2227f)
MICROSOFT INTUNE (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION (8a256a2b-b617-496d-b51b-e76466e88db0)
MICROSOFT AZURE ACTIVE DIRECTORY RIGHTS (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
AZURE INFORMATION PROTECTION PREMIUM P1 (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)
AZURE INFORMATION PROTECTION PREMIUM P2 (5689bec4-755d-4753-8b61-40975025187c)",
"EXCHANGE ONLINE (PLAN 1)","EXCHANGESTANDARD","4b9405b0-7788-4568-add1-99614e613b69","EXCHANGE_S_STANDARD (9aaf7827-d63c-4b61-89c3-182f06f82e5c)","EXCHANGE ONLINE (PLAN 1) (9aaf7827-d63c-4b61-89c3-182f06f82e5c)",
"EXCHANGE ONLINE (PLAN 2)","EXCHANGEENTERPRISE","19ec0d23-8335-4cbd-94ac-6050e30712fa","EXCHANGE_S_ENTERPRISE (efb87545-963c-4e0d-99df-69c6916d9eb0)","EXCHANGE ONLINE (PLAN 2)(efb87545-963c-4e0d-99df-69c6916d9eb0)",
"EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE","EXCHANGEARCHIVE_ADDON","ee02fd1b-340e-4a4b-b355-4a514e4c8943","EXCHANGE_S_ARCHIVE_ADDON (176a09a6-7ec5-4039-ac02-b2791c6ba793)","EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE (176a09a6-7ec5-4039-ac02-b2791c6ba793)",
"EXCHANGE ONLINE ARCHIVING FOR EXCHANGE SERVER","EXCHANGEARCHIVE","90b5e015-709a-4b8b-b08e-3200f994494c","EXCHANGE_S_ARCHIVE (da040e0a-b393-4bea-bb76-928b3fa1cf5a)","EXCHANGE ONLINE ARCHIVING FOR EXCHANGE SERVER (da040e0a-b393-4bea-bb76-928b3fa1cf5a)",
"EXCHANGE ONLINE ESSENTIALS","EXCHANGEESSENTIALS","7fc0182e-d107-4556-8329-7caaa511197b","EXCHANGE_S_STANDARD (9aaf7827-d63c-4b61-89c3-182f06f82e5c)","EXCHANGE ONLINE (PLAN 1) (9aaf7827-d63c-4b61-89c3-182f06f82e5c)",
"EXCHANGE ONLINE ESSENTIALS","EXCHANGE_S_ESSENTIALS","e8f81a67-bd96-4074-b108-cf193eb9433b","EXCHANGE_S_ESSENTIALS (1126bef5-da20-4f07-b45e-ad25d2581aa8)","EXCHANGE_S_ESSENTIALS (1126bef5-da20-4f07-b45e-ad25d2581aa8)",
"EXCHANGE ONLINE KIOSK","EXCHANGEDESKLESS","80b2d799-d2ba-4d2a-8842-fb0d0f3a4b82","EXCHANGE_S_DESKLESS (4a82b400-a79f-41a4-b4e2-e94f5787b113)","EXCHANGE ONLINE KIOSK (4a82b400-a79f-41a4-b4e2-e94f5787b113)",
"EXCHANGE ONLINE POP","EXCHANGETELCO","cb0a98a8-11bc-494c-83d9-c1b1ac65327e","EXCHANGE_B_STANDARD (90927877-dcff-4af6-b346-2332c0b15bb7)","EXCHANGE ONLINE POP (90927877-dcff-4af6-b346-2332c0b15bb7)",
"INTUNE","INTUNE_A","061f9ace-7d42-4136-88ac-31dc755f143f","INTUNE_A (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)","MICROSOFT INTUNE (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)",
"Microsoft 365 A1","M365EDU_A1","b17653a4-2443-4e8c-a550-18249dda78bb","AAD_EDU (3a3976ce-de18-4a87-a78e-5e9245e252df)
INTUNE_EDU (da24caf9-af8e-485c-b7c8-e73336da2693)
INTUNE_A (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
WINDOWS_STORE (a420f25f-a7b3-4ff5-a9d0-5d58f73b537d)","Azure Active Directory for Education (3a3976ce-de18-4a87-a78e-5e9245e252df)
Intune for Education (da24caf9-af8e-485c-b7c8-e73336da2693)
Microsoft Intune (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
Windows Store Service (a420f25f-a7b3-4ff5-a9d0-5d58f73b537d)",
"Microsoft 365 A3 for faculty","M365EDU_A3_FACULTY","4b590615-0888-425a-a965-b3bf7789848d","AAD_BASIC_EDU (1d0f309f-fdf9-4b2a-9ae7-9c48b91f1426)
AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)
RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
EducationAnalyticsP1 (a9b86446-fa4e-498f-a92a-41b447e03337)
EXCHANGE_S_ENTERPRISE (efb87545-963c-4e0d-99df-69c6916d9eb0)
FLOW_O365_P2 (76846ad7-7776-4c40-a281-a386362dd1b9)
MIP_S_CLP1 (5136a095-5cf0-4aff-bec3-e84448b38ea5)
MYANALYTICS_P2 (33c4f319-9bdd-48d6-9c4d-410b750a4a5a)
INTUNE_EDU (da24caf9-af8e-485c-b7c8-e73336da2693)
MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0)
MICROSOFTBOOKINGS (199a5c09-e0ca-4e37-8f7c-b05d533e1ea2)
OFFICE_FORMS_PLAN_2 (9b5de886-f035-4ff2-b3d8-c9127bea3620)
INTUNE_A (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
KAIZALA_O365_P3 (aebd3021-9f8f-4bf8-bbe3-0ed2f4f047a1)
PROJECTWORKMANAGEMENT (b737dad2-2f6c-4c65-90e3-ca563267e8b9)
MICROSOFT_SEARCH (94065c59-bc8e-4e8b-89e5-5138d471eaff)
Deskless (8c7d2df8-86f0-4902-b2ed-a0458298f3b3)
STREAM_O365_E3 (9e700747-8b1d-45e5-ab8d-ef187ceec156)
TEAMS1 (57ff2da0-773e-42df-b2af-ffb7a2317929)
MINECRAFT_EDUCATION_EDITION (4c246bbc-f513-4311-beff-eba54c353256)
INTUNE_O365 (882e1d05-acd1-4ccb-8708-6ee03664b117)
ADALLOM_S_O365 (8c098270-9dd4-4350-9b30-ba4703f3b36b)
OFFICESUBSCRIPTION (43de0ff5-c92c-492b-9116-175376d08c38)
SHAREPOINTWAC_EDU (e03c7e47-402c-463c-ab25-949079bedb21)
POWERAPPS_O365_P2 (c68f8d98-5534-41c8-bf36-22fa496fa792)
SCHOOL_DATA_SYNC_P2 (500b6a2a-7a50-4f40-b5f9-160e5b8c2f48)
SHAREPOINTENTERPRISE_EDU (63038b2c-28d0-45f6-bc36-33062963b498)
MCOSTANDARD (0feaeb32-d00e-4d66-bd5a-43b5b83db82c)
SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97)
BPOS_S_TODO_2 (c87f142c-d1e9-4363-8630-aaea9c4d9ae5)
WHITEBOARD_PLAN2 (94a54592-cd8b-425e-87c6-97868b000b91)
Virtualization Rights for Windows 10 (E3/E5+VDA) (e7c91390-7625-45be-94e0-e16907e03118)
YAMMER_EDU (2078e8df-cff6-4290-98cb-5408261a760a)","Azure Active Directory Basic for EDU (1d0f309f-fdf9-4b2a-9ae7-9c48b91f1426)
Azure Active Directory Premium P1 (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
Azure Information Protection Premium P1 (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)
Azure Rights Management (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
Cloud App Security Discovery (932ad362-64a8-4783-9106-97849a1a30b9)
Education Analytics (a9b86446-fa4e-498f-a92a-41b447e03337)
Exchange Online (Plan 2) (efb87545-963c-4e0d-99df-69c6916d9eb0)
Flow for Office 365 (76846ad7-7776-4c40-a281-a386362dd1b9)
Information Protection for Office 365 - Standard (5136a095-5cf0-4aff-bec3-e84448b38ea5)
Insights by MyAnalytics (33c4f319-9bdd-48d6-9c4d-410b750a4a5a)
Intune for Education (da24caf9-af8e-485c-b7c8-e73336da2693)
Microsoft Azure Multi-Factor Authentication (8a256a2b-b617-496d-b51b-e76466e88db0)
Microsoft Bookings (199a5c09-e0ca-4e37-8f7c-b05d533e1ea2)
Microsoft Forms (Plan 2) (9b5de886-f035-4ff2-b3d8-c9127bea3620)
Microsoft Intune (c1ec4a95-1f05-45b3-a911-aa3fa01094f5)
Microsoft Kaizala Pro Plan 3 (aebd3021-9f8f-4bf8-bbe3-0ed2f4f047a1)
Microsoft Planner (b737dad2-2f6c-4c65-90e3-ca563267e8b9)
Microsoft Search (94065c59-bc8e-4e8b-89e5-5138d471eaff)
Microsoft StaffHub (8c7d2df8-86f0-4902-b2ed-a0458298f3b3)
Microsoft Stream for O365 E3 SKU (9e700747-8b1d-45e5-ab8d-ef187ceec156)
Microsoft Teams (57ff2da0-773e-42df-b2af-ffb7a2317929)
Minecraft Education Edition (4c246bbc-f513-4311-beff-eba54c353256)
Mobile Device Management for Office 365 (882e1d05-acd1-4ccb-8708-6ee03664b117)
Office 365 Advanced Security Management (8c098270-9dd4-4350-9b30-ba4703f3b36b)
Office 365 ProPlus (43de0ff5-c92c-492b-9116-175376d08c38)
Office for the web (Education) (e03c7e47-402c-463c-ab25-949079bedb21)
PowerApps for Office 365 (c68f8d98-5534-41c8-bf36-22fa496fa792)
School Data Sync (Plan 2) (500b6a2a-7a50-4f40-b5f9-160e5b8c2f48)
SharePoint Plan 2 for EDU (63038b2c-28d0-45f6-bc36-33062963b498)
Skype for Business Online (Plan 2) (0feaeb32-d00e-4d66-bd5a-43b5b83db82c)
Sway (a23b959c-7ce8-4e57-9140-b90eb88a9e97)
To-Do (Plan 2) (c87f142c-d1e9-4363-8630-aaea9c4d9ae5)
Whiteboard (Plan 2) (94a54592-cd8b-425e-87c6-97868b000b91)
Windows 10 Enterprise (New) (e7c91390-7625-45be-94e0-e16907e03118)
Yammer for Academic (2078e8df-cff6-4290-98cb-5408261a760a)",
